,Accuracy,Precision,Recall,F1/Dice,Specificity,Kappa,AUC_micro
ResNet50_OneCycle,0.8156996369361877,0.8115025758743286,0.7971677184104919,0.8028748631477356,0.8986639380455017,0.7065965533256531,0.9427352094957424
EffNetB0_OneCycle,0.8191125988960266,0.8182229399681091,0.8173540830612183,0.817054033279419,0.905336856842041,0.7173101902008057,0.9498858460785797
ResNet50_SAM,0.8054607510566711,0.8004879951477051,0.7854864597320557,0.791377067565918,0.8933589458465576,0.6901110410690308,0.9373580356206829
EffNetB0_SAM,0.7901023626327515,0.7838175296783447,0.7678506374359131,0.7736581563949585,0.8848251104354858,0.6650292277336121,0.9232970098661604
